State,StateAbv,State Capital,Region,AllParks,park_rank,State Parks,State Forests,State Wildlife Management Areas,National Park,National Forests,National Historic Sites,National Historic Park,National Monuments,National Wildlife Refuges,National Parks,National Historic Parks,National Recreation Trail,National Park and Preserves,State Recreation Area,State Historic Site,State Fish Hatchery,State Wildlife Area,National Memorial,National Historic Site,National Wildlife Area,National Recreation Area,National Recreation Trails,Metro and City Parks,State Forest,State Fish Hatcherys,State Natural Area,State Recreation Areas,State Historic Sites,State Nature Preserve,State Reserves,State Wildlife Areas,National Recreation Areas,National Seashore,National Park and Preserve,National Historic Landmark,National Monument,State Memorial,State Preserves,National Memorials,State Wildlife Management Area,State Wildlife Refuge,Army Corps of Engineerss,Metro and City Parkss,State Memorials,State Natural Areas,National Forest,State Fishing Area,National Wildlife Refuge,State Reserve,State Airport,National Historic Landmarks,National Wilderness Areas,National Natural Area,National Seashores,Army Corps of Engineers,State Nature Preserves,State Nursery,State Preserve,State Scenic Rivers,State Fishery Areas,Trail
Nevada,NV,Carson City,West,46,15,20,0,3,1,7,0,0,0,9,0,0,1,0,1,0,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
New Hampshire,NH,Concord,Northeast,28,8,20,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
New Jersey,NJ,Trenton,Northeast,57,24,34,11,0,0,0,0,1,0,5,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
New Mexico,NM,Santa Fe,West,61,28,28,0,0,0,5,0,0,3,8,3,2,1,0,0,0,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0,0,0,0,0,0,0,0
New York,NY,Albany,Northeast,112,44,89,3,0,1,0,5,1,4,5,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
North Carolina,NC,Raleigh,South,59,27,35,2,0,0,4,2,0,0,8,2,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0
North Dakota,ND,Bismarck,Midwest,27,7,7,0,0,0,0,2,0,0,16,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ohio,OH,Columbus,Midwest,146,47,77,17,0,1,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,14,0,0,0,0,0,0,0,2,0,0,0,3,20,0,1,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0
Oklahoma,OK,Oklahoma City,South,63,30,35,0,2,0,0,2,0,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oregon,OR,Salem,West,162,48,111,3,0,1,14,0,0,2,16,0,0,0,0,0,0,0,0,1,1,0,0,3,0,0,6,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
