0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,State,State.1,State Capital,Region
{' State Parks': '28'},{'State Fish Hatchery': 1},{' National Parks': '3'},{' National Forests': '5'},{' National Historic Landmarks': '3'},{'National Historic Site': 1},{' National Historic Parks': '2'},{' National Monuments': '3'},{' National Wilderness Areas': '3'},{' National Wildlife Refuges': '8'},{'National Recreation Area': 1},{'National Recreation Trail': 1},{'National Natural Area': 1},{'Metro and City Parks': 1},,,,,,New Mexico,NM,Santa Fe,West
{' State Parks': '89'},{' State Forests': '3'},{'State Wildlife Area': 1},{'State Wildlife Management Area': 1},{'National Park': 1},{' National Historic Sites': '5'},{'National Historic Park': 1},{' National Monuments': '4'},{' National Wildlife Refuges': '5'},{'National Recreation Area': 1},{'National Seashore': 1},,,,,,,,,New York,NY,Albany,Northeast
{' State Parks': '35'},{'State Recreation Area': 1},{' State Forests': '2'},{'State Fish Hatchery': 1},{' National Parks': '2'},{' National Forests': '4'},{'National Memorial': 1},{' National Historic Sites': '2'},{' National Wildlife Refuges': '8'},{' National Seashores': '2'},{'Army Corps of Engineers': 1},,,,,,,,,North Carolina,NC,Raleigh,South
{' State Parks': '7'},{'State Historic Site': 1},{'National Memorial': 1},{' National Historic Sites': '2'},{' National Wildlife Refuges': '16'},,,,,,,,,,,,,,,North Dakota,ND,Bismarck,Midwest
{' State Parks': '77'},{' State Forests': '17'},{' State Memorials': '20'},{' State Nature Preserves': '4'},{' State Reserves': '2'},{' State Wildlife Areas': '14'},{'National Park': 1},{'National Forest': 1},{' National Memorials': '2'},{' National Historic Parks': '2'},{' National Wildlife Refuges': '3'},{' Metro and City Parkss': '3'},,,,,,,,Ohio,OH,Columbus,Midwest
{' State Parks': '35'},{' State Fish Hatcherys': '3'},{' State Wildlife Management Areas': '2'},{' National Historic Sites': '2'},{'National Wildlife Area': 1},{' National Wildlife Refuges': '4'},{' National Recreation Areas': '2'},{' Metro and City Parkss': '14'},,,,,,,,,,,,Oklahoma,OK,Oklahoma City,South
{' State Parks': '111'},{' State Forests': '3'},{' State Fish Hatcherys': '6'},{'State Natural Area': 1},{'State Nursery': 1},{'National Park': 1},{' National Forests': '14'},{'National Memorial': 1},{'National Historic Site': 1},{' National Monuments': '2'},{' National Wildlife Refuges': '16'},{' National Recreation Areas': '2'},{' National Recreation Trails': '3'},,,,,,,Oregon,OR,Salem,West
{' State Parks': '111'},{' State Forests': '19'},{'National Park': 1},{'National Forest': 1},{' National Memorials': '2'},{' National Historic Sites': '5'},{' National Historic Parks': '3'},{'National Wildlife Refuge': 1},{'National Recreation Area': 1},{'Metro and City Parks': 1},,,,,,,,,,Pennsylvania,PA,Harrisburg,Northeast
{' State Parks': '9'},{'National Park': 1},{'National Memorial': 1},{'National Historic Site': 1},{' National Wildlife Refuges': '4'},,,,,,,,,,,,,,,Rhode Island,RI,Providence,Northeast
{' State Parks': '40'},{' State Forests': '4'},{'State Historic Site': 1},{'State Preserve': 1},{' National Parks': '2'},{'National Forest': 1},{' National Historic Sites': '2'},{' National Wildlife Refuges': '5'},,,,,,,,,,,,South Carolina,SC,Columbia,South
{' State Parks': '15'},{' National Parks': '2'},{'National Forest': 1},{'National Memorial': 1},{'National Historic Site': 1},{'National Monument': 1},{' National Wildlife Refuges': '4'},,,,,,,,,,,,,South Dakota,SD,Pierre,Midwest
{' State Parks': '31'},{' State Forests': '10'},{' State Scenic Rivers': '3'},{' State Natural Areas': '3'},{' State Wildlife Management Areas': '3'},{'National Park': 1},{'National Forest': 1},{'National Historic Site': 1},{'National Historic Park': 1},{' National Wildlife Refuges': '8'},,,,,,,,,,Tennessee,TN,Nashville,South
{' State Parks': '76'},{' State Forests': '2'},{' State Historic Sites': '2'},{'State Fish Hatchery': 1},{' State Natural Areas': '2'},{' National Parks': '3'},{' National Forests': '4'},{'National Memorial': 1},{'National Historic Site': 1},{'National Historic Park': 1},{'National Monument': 1},{' National Wildlife Refuges': '10'},{' National Recreation Areas': '2'},{'National Seashore': 1},,,,,,Texas,TX,Austin,South
{' State Parks': '29'},{'State Reserve': 1},{' National Parks': '5'},{' National Forests': '4'},{' National Historic Sites': '2'},{' National Monuments': '4'},{' National Wildlife Refuges': '2'},{' National Recreation Areas': '4'},{'Metro and City Parks': 1},,,,,,,,,,,Utah,UT,Salt Lake City,West
{' State Parks': '12'},{' State Forests': '7'},{'National Forest': 1},{'National Wildlife Refuge': 1},{'National Recreation Area': 1},,,,,,,,,,,,,,,Vermont,VT,Montpelier,Northeast
{' State Parks': '24'},{' State Forests': '5'},{' State Fish Hatcherys': '2'},{' State Wildlife Management Areas': '2'},{' National Parks': '7'},{' National Forests': '2'},{' National Historic Sites': '2'},{' National Historic Parks': '3'},{' National Monuments': '2'},{'National Wildlife Refuge': 1},{'National Recreation Area': 1},,,,,,,,,Virginia,VA,Richmond,South
{' State Parks': '131'},{' State Recreation Areas': '6'},{' State Forests': '2'},{'State Natural Area': 1},{'State Wildlife Area': 1},{' National Parks': '3'},{' National Forests': '7'},{' National Historic Sites': '3'},{' National Historic Parks': '2'},{' National Wildlife Refuges': '17'},{' National Recreation Areas': '3'},{' Metro and City Parkss': '5'},,,,,,,,Washington,WA,Olympia,West
{' State Parks': '29'},{' State Forests': '9'},{'State Fish Hatchery': 1},{'National Park': 1},{'National Forest': 1},{'National Historic Park': 1},{' National Recreation Areas': '2'},{'National Park and Preserve': 1},{' Army Corps of Engineerss': '2'},,,,,,,,,,,West Virginia,WV,Charleston,South
{' State Parks': '42'},{' State Forests': '8'},{' State Fishery Areas': '3'},{'State Fish Hatchery': 1},{'Trail': 1},{' State Wildlife Areas': '7'},{' State Wildlife Management Areas': '3'},{'State Wildlife Refuge': 1},{' National Forests': '2'},{' National Wildlife Refuges': '5'},{' Metro and City Parkss': '2'},,,,,,,,,Wisconsin,WI,Madison,Midwest
{' State Parks': '13'},{' National Parks': '2'},{' National Forests': '5'},{' National Historic Sites': '2'},{' National Wildlife Refuges': '4'},{' National Recreation Areas': '2'},{'National Recreation Trail': 1},,,,,,,,,,,,,Wyoming,WY,Cheyenne,West
{'National Memorial': 1},{' National Historic Sites': '2'},,,,,,,,,,,,,,,,,,District of Columbia,DC,Washington,Northeast
